ean,brand,productTitle,productImage,basis,kj,kcal,fat,carbs,protein,sugars,fiber,salt,saturatedFat,,,
7394376620768,Oatly!,Oatly! Haverdrank vol,https://static.ah.nl/dam/product/AHI_43545239393137373032?revLabel=2&rendition=800x800_JPG_Q90&fileType=binary,,248,59,2.8,7,1.1,3.4,0.8,0.1,0.3,,,
8713788123855,HiPRO,HiPRO Protein drink stracciatella,https://static.ah.nl/dam/product/AHI_43545239393138393236?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,246,59,0.5,5.3,8.3,5.1,,0.17,0.3,,,
8718906187641,AH Biologisch,AH Biologisch Nederlandse appels schaal,https://static.ah.nl/dam/product/AHI_43545239393139303133?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,250,59,0.2,13,0.3,10,2,0,0,0.1,,
8718906420977,AH,AH Romige kippensoep,https://static.ah.nl/dam/product/AHI_43545239393235343335?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,246,59,4.2,4.1,1.1,0.5,0.3,0.43,1.8,2.3,,
5411188134985,Alpro,Alpro This is not m*lk drink vol,https://static.ah.nl/dam/product/AHI_43545239393235363732?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,248,59,3.5,5.7,0.7,0,1,0.12,0.4,,,
8710400385165,AH,AH Zoete kleine appeltjes,https://static.ah.nl/dam/product/AHI_43545239393238353636?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,250,59,0.2,13,0.3,10,2,0,0,0.1,,
5900852929595,Olvarit,Olvarit 12+ mnd courgette kip pasta,https://static.ah.nl/dam/product/AHI_43545239393239333538?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,247,59,1.6,6.7,3.2,1.6,2.4,0.03,0.4,,,
5900852033490,Olvarit,Olvarit 8+ mnd pompoen kip rijst,https://static.ah.nl/dam/product/AHI_43545239393330303237?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,249,59,1.6,8.4,2.2,1.8,1.2,0.25,0.3,,,
5900852033483,Olvarit,Olvarit 8+ mnd courgette witvis rijst,https://static.ah.nl/dam/product/AHI_43545239393330313439?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,247,59,2,7.1,2.6,1.5,1,0.025,0.2,,,
8712800001270,Chocomel,Chocomel Chocomelk plantaardig,https://static.ah.nl/dam/product/AHI_43545239393330373431?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,248,59,1.8,8.4,1.8,7.1,,0.2,0.8,,,
8712000059187,Desperados,Desperados Original bier 4-pack,https://static.ah.nl/dam/product/AHI_43545239393332333237?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,247,59,0,6.3,0,2.2,,0.01,0,,,
8712000059156,Desperados,Desperados Original 6-pack,https://static.ah.nl/dam/product/AHI_43545239393335303335?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,247,59,0,6.3,0,2.2,,0.01,0,,,
8718265433564,AH,AH Kiwi groen,https://static.ah.nl/dam/product/AHI_43545239393339353231?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,250,59,0.8,11,0.9,10,2.3,0,0.2,0.4,,
